ccn,name,state,facility_type,health_system_id,health_system
43C0001018,SURGICAL ASSOCIATES ENDOSCOPY CLINIC LLC,SD,ASC,independent,Independent / Unknown
22C0001049,WEYMOUTH ENDOSCOPY LLC,MA,ASC,independent,Independent / Unknown
39C0001102,CARLISLE ENDOSCOPY CENTER LTD,PA,ASC,independent,Independent / Unknown
22C0001030,CAPE COD EYE SURGERY AND LASER CENTER,MA,ASC,independent,Independent / Unknown
39C0001193,SOUTH HILLS ENDOSCOPY CENTER,PA,ASC,independent,Independent / Unknown
05C0001714,WESTWOOD SURGERY CENTER,CA,ASC,independent,Independent / Unknown
39C0001231,ENDOSCOPY CENTER AT ST MARY,PA,ASC,independent,Independent / Unknown
05C0001478,EMPIRE SURGERY CENTER,CA,ASC,independent,Independent / Unknown
05C0001566,COSMETIC SURGERY CENTER OF SANTA MONICA,CA,ASC,independent,Independent / Unknown
05C0002275,COSMETIC SURGERY CENTER OF SANTA MONICA,CA,ASC,independent,Independent / Unknown
03C0001296,MCDOWELL AMBULATORY SURGERY CENTER LLC,AZ,ASC,independent,Independent / Unknown
05C0001225,TEMECULA VALLEY DAY SURGERY CENTER,CA,ASC,independent,Independent / Unknown
21C0001448,JESSCO LLC,MD,ASC,independent,Independent / Unknown
06C0001039,PIKES PEAK ENDOSCOPY AND SURGERY CENTER LLC,CO,ASC,independent,Independent / Unknown
31C0001024,NORTHERN NEW JERSEY EYE INSTITUTE PA,NJ,ASC,independent,Independent / Unknown
45C0001479,VISTA SURGERY CENTER LLC,TX,ASC,independent,Independent / Unknown
26C0001141,SSM ST CLARE SURGICAL CENTER LLC,MO,ASC,independent,Independent / Unknown
11C0001164,TATTNALL HOSPITAL COMPANY LLC DBA OPTIM SURGERY CENTER,GA,ASC,independent,Independent / Unknown
42C0001078,THE SOUTHEASTERN SPINE INSTITUTE AMBULATORY SURGERY CENTER LLC,SC,ASC,independent,Independent / Unknown
45C0001493,ABILENE SURGERY CENTER,TX,ASC,independent,Independent / Unknown
50C0001281,HIGH DESERT SURGERY CENTER LLC,WA,ASC,independent,Independent / Unknown
03C0001339,SAN TAN SURGERY CENTER LLC,AZ,ASC,independent,Independent / Unknown
15C0001175,ADVANCED AMBULATORY SURGERY CENTER LLC,IN,ASC,independent,Independent / Unknown
05C0001640,SUTTER AMADOR SURGERY CENTER LLC,CA,ASC,independent,Independent / Unknown
23C0001121,TOWN CENTER ASC LLC,MI,ASC,independent,Independent / Unknown
36C0001280,WHITE FENCE SURGICAL SUITES LLC,OH,ASC,independent,Independent / Unknown
10C0001574,CORNERSTONE SURGICARE LLC,FL,ASC,independent,Independent / Unknown
46C0001061,SPRING CREEK SURGICAL CENTER LLC,UT,ASC,independent,Independent / Unknown
33C0001152,ISLAND AMBULATORY SURGERY CENTER,NY,ASC,independent,Independent / Unknown
45C0001606,US CARDIO OF SA LLC,TX,ASC,independent,Independent / Unknown
11C0001429,NEWNAN CENTER FOR FOOT AND ANKLE SURGERY LLC,GA,ASC,independent,Independent / Unknown
21C0001593,ABINGDON SURGICAL CENTER PC,MD,ASC,independent,Independent / Unknown
45C0001631,TEXAS CENTER FOR INTERVENTIONAL SURGERY LLC,TX,ASC,independent,Independent / Unknown
45C0001539,PARK TEN SURGERY CENTER,TX,ASC,independent,Independent / Unknown
21C0001600,MEDSTAR SURGERY CENTER AT TIMONIUM,MD,ASC,independent,Independent / Unknown
36C0001301,LANCASTER SPECIALTY SURGERY CENTER,OH,ASC,independent,Independent / Unknown
46C0001070,SURGERY CENTER AT SOUTH OGDEN LLC,UT,ASC,independent,Independent / Unknown
23C0001149,MICHIGAN ADVANCED SURGICAL CENTER,MI,ASC,independent,Independent / Unknown
05C0002288,ORANGE COUNTY SURGICAL CENTER INC,CA,ASC,independent,Independent / Unknown
19C0001142,CARDIOVASCULAR INSTITUTE OF THE SOUTH ASC LLC,LA,ASC,independent,Independent / Unknown
10C0001677,NAPLES SUNCOAST SURGERY CENTER LLC,FL,ASC,independent,Independent / Unknown
10C0001672,ADVANCED SURGERY CENTER OF OXFORD,FL,ASC,independent,Independent / Unknown
45C0001715,VISION PARK SURGERY CENTER,TX,ASC,independent,Independent / Unknown
55C0001157,SUTTER BAY MEDICAL FOUNDATION DBA SUTTER SAMARITAN SURGERY CENTER,CA,ASC,independent,Independent / Unknown
15C0002008,DUNE GRASS SURGICAL SUITES LLC,IN,ASC,independent,Independent / Unknown
15C0002018,PLUM CREEK SURGERY CENTER LLC,IN,ASC,independent,Independent / Unknown
16C0001038,WAUKEE SURGERY CENTER LLC,IA,ASC,independent,Independent / Unknown
39C0001075,INDIANA AMBULATORY SURGICAL ASSOCIATES LLC,PA,ASC,independent,Independent / Unknown
10C0001016,ST LUKES SURGICAL CENTER INC,FL,ASC,independent,Independent / Unknown
37C0001039,TRIAD EYE INSTITUTE PLLC,OK,ASC,independent,Independent / Unknown
05C0001512,SURGERY CENTER OF LONG BEACH,CA,ASC,independent,Independent / Unknown
49C0001044,ST  MARYS AMBULATORY SURGERY CENTER,VA,ASC,independent,Independent / Unknown
03C0001295,NORTH VALLEY ENDOSCOPY CENTER,AZ,ASC,independent,Independent / Unknown
33C0001034,DUTCHESS AMBULATORY SURGICAL CENTER,NY,ASC,independent,Independent / Unknown
37C0001054,DIGESTIVE DISEASE SPECIALISTS INC SOUTH,OK,ASC,independent,Independent / Unknown
05C0001760,SIERRA AMBULATORY SURGERY CENTER,CA,ASC,independent,Independent / Unknown
52C0001065,ORTHOPEDIC AND SPORTS SURGERY CENTER,WI,ASC,independent,Independent / Unknown
05C0001138,PREMIERE SURGERY CENTER INC,CA,ASC,independent,Independent / Unknown
31C0001167,NORTH FULLERTON SURGERY CENTER LLC,NJ,ASC,independent,Independent / Unknown
10C0001443,WEST PARK SURGERY CENTER,FL,ASC,independent,Independent / Unknown
05C0001066,FOREST AMBULATORY SURGICAL ASSOCIATES LLC DBA FOREST ABULATORY SURGERY CENTER,CA,ASC,independent,Independent / Unknown
21C0001160,GASTROINTESTINAL DIAGNOSTIC CENTER,MD,ASC,independent,Independent / Unknown
17C0001031,SURGERY CENTER OF SOUTH CENTRAL KANSAS,KS,ASC,independent,Independent / Unknown
07C0001040,NAUGATUCK VALLEY ENDOSCOPY CENTER LLC,CT,ASC,independent,Independent / Unknown
10C0001435,EYE SURGERY AND LASER CENTER,FL,ASC,independent,Independent / Unknown
23C0001065,GRAND RIVER ENDOSCOPY CENTER LLC,MI,ASC,independent,Independent / Unknown
10C0001329,SUNCOAST SURGERY CENTER LLC,FL,ASC,independent,Independent / Unknown
10C0001700,SUNCOAST SURGERY CENTER DBA SUNCOAST SURGERY CENTER II,FL,ASC,independent,Independent / Unknown
31C0001142,CENTRAL JERSEY AMBULATORY SURGICAL CENTER LLC,NJ,ASC,independent,Independent / Unknown
10C0001332,LASER AND SURGERY CENTER OF THE PALM BEACHES,FL,ASC,independent,Independent / Unknown
39C0001113,HAZLETON ENDOSCOPY CENTER INC,PA,ASC,independent,Independent / Unknown
31C0001141,AMBULATORY SURGERY CENTER AT OLD BRIDGE LLC,NJ,ASC,independent,Independent / Unknown
50C0001187,SKIN SURGERY CENTER,WA,ASC,independent,Independent / Unknown
10C0001234,WEST FLORIDA MEDICAL CENTER CLINIC PA,FL,ASC,independent,Independent / Unknown
11C0001246,COFFEE COUNTY CENTER FOR DIGESTIVE DISEASES LLC,GA,ASC,independent,Independent / Unknown
55C0001044,LAKEWOOD EYE PHYSICIANS AND SURGEONS,CA,ASC,independent,Independent / Unknown
21C0001068,ENDOCENTRE OF BALTIMORE,MD,ASC,independent,Independent / Unknown
12C0001019,EYE SURGERY CENTER OF HAWAII,HI,ASC,independent,Independent / Unknown
22C0001079,NEW ENGLAND SURGERY CENTER LLC,MA,ASC,independent,Independent / Unknown
36C0001281,COMPREHENSIVE SURGICAL CENTER OF GREEN LLC,OH,ASC,independent,Independent / Unknown
04C0001087,MAGNOLIA SURGERY CENTER LLC,AR,ASC,independent,Independent / Unknown
